screen_name|created_at|text|retweet_count|favorite_count
realDonaldTrump|Sun Sep 09 14:42:41 +0000 2018|Wow, NFL first game ratings are way down over an already really bad last year comparison. Viewership declined 13%, the lowest in over a decade. If the players stood proudly for our Flag and Anthem, and it is all shown on broadcast, maybe ratings could come back? Otherwise worse!|22534|105123
realDonaldTrump|Sun Sep 09 14:12:18 +0000 2018|?Trump has set Economic Growth on fire. During his time in office, the economy has achieved feats most experts thought impossible. GDP is growing at a 3 percent-plus rate. The unemployment rate is near a 50 year low.? CNBC...Also, the Stock Market is up almost 50% since Election!|18760|76026
realDonaldTrump|Sun Sep 09 14:01:06 +0000 2018|If the U.S. sells a car into China, there is a tax of 25%. If China sells a car into the U.S., there is a tax of 2%. Does anybody think that is FAIR? The days of the U.S. being ripped-off by other nations is OVER!|32364|130869
realDonaldTrump|Sun Sep 09 13:49:20 +0000 2018|?Ford has abruptly killed a plan to sell a Chinese-made small vehicle in the U.S. because of the prospect of higher U.S. Tariffs.? CNBC.  This is just the beginning. This car can now be BUILT IN THE U.S.A. and Ford will pay no tariffs!|20190|82838
realDonaldTrump|Sun Sep 09 13:32:04 +0000 2018|?Barack Obama talked a lot about hope, but Donald Trump delivered the American Dream. All the economic indicators, what?s happening overseas, Donald Trump has proven to be far more successful than Barack Obama. President Trump is delivering the American Dream.? Jason Chaffetz|24707|93356
realDonaldTrump|Sun Sep 09 13:01:12 +0000 2018|Happy Anniversary! #ProudDeplorable https://t.co/iHyeu5a8DD|27380|86349
realDonaldTrump|Sun Sep 09 01:51:01 +0000 2018|So nice, thank you both! https://t.co/IAskDJIILo|19594|84750
realDonaldTrump|Sun Sep 09 01:47:25 +0000 2018|The Dems have tried every trick in the playbook-call me everything under the sun. But if I?m all of those terrible things, how come I beat them so badly, 306-223? Maybe they?re just not very good! The fact is they are going CRAZY only because they know they can?t beat me in 2020!|29501|123888
realDonaldTrump|Sun Sep 09 01:38:38 +0000 2018|Republicans are doing really well with the Senate Midterms. Races that we were not even thinking about winning are now very close, or even leading. Election night will be very interesting indeed!|21212|92829
realDonaldTrump|Sun Sep 09 00:07:31 +0000 2018|Our Social Media (and beyond) Stars, @DiamondandSilk, are terrific people who are doing really well. We are all very proud of them, and their great success!|19237|86598
