screen_name|created_at|text|retweet_count|favorite_count
realDonaldTrump|Thu Apr 19 15:48:38 +0000 2018|Governor Jerry Brown announced he will deploy ?up to 400 National Guard Troops? to do nothing. The crime rate in California is high enough, and the Federal Government will not be paying for Governor Brown?s charade. We need border security and action, not words!|19488|82183
realDonaldTrump|Thu Apr 19 15:23:22 +0000 2018|Thank you San Diego County for defending the rule of law and supporting our lawsuit against California's illegal and unconstitutional 'Sanctuary' policies. California's dangerous policies release violent criminals back into our communities, putting all Americans at risk.|19289|84123
realDonaldTrump|Thu Apr 19 14:45:14 +0000 2018|Great meeting with Prime Minister Abe of Japan, who has just left Florida. Talked in depth about North Korea, Military and Trade. Good things will happen!|13612|69429
realDonaldTrump|Thu Apr 19 02:58:21 +0000 2018|It was my great honor to host my friend @JPN_PMO @AbeShinzo and his delegation at Mar-a-Lago for the past two days. Lots accomplished, thank you! #Success???? https://t.co/2NnItfwfBl|14125|63530
realDonaldTrump|Wed Apr 18 21:32:53 +0000 2018|Great working luncheon with U.S. and Japanese Delegations this afternoon! https://t.co/ywU2CEih8b|12171|63355
realDonaldTrump|Wed Apr 18 21:00:12 +0000 2018|Prime Minister @AbeShinzo of Japan and myself this morning building an even deeper and better relationship while playing a quick round of golf at Trump International Golf Club. https://t.co/YqU7pHiFoU|14666|73804
realDonaldTrump|Wed Apr 18 16:30:39 +0000 2018|Best wishes to Prime Minister @Netanyahu and all of the people of Israel on the 70th Anniversary of your Great Independence. We have no better friends anywhere. Looking forward to moving our Embassy to Jerusalem next month!|22966|99359
realDonaldTrump|Wed Apr 18 12:05:42 +0000 2018|Slippery James Comey, the worst FBI Director in history, was not fired because of the phony Russia investigation where, by the way, there was NO COLLUSION (except by the Dems)!|21768|93742
realDonaldTrump|Wed Apr 18 10:42:23 +0000 2018|Mike Pompeo met with Kim Jong Un in North Korea last week. Meeting went very smoothly and a good relationship was formed. Details of Summit are being worked out now. Denuclearization will be a great thing for World, but also for North Korea!|24735|98096
realDonaldTrump|Wed Apr 18 10:08:50 +0000 2018|A sketch years later about a nonexistent man. A total con job, playing the Fake News Media for Fools (but they know it)! https://t.co/9Is7mHBFda|17078|60047
realDonaldTrump|Wed Apr 18 09:59:07 +0000 2018|There is a Revolution going on in California. Soooo many Sanctuary areas want OUT of this ridiculous, crime infested &amp; breeding concept. Jerry Brown is trying to back out of the National Guard at the Border, but the people of the State are not happy. Want Security &amp; Safety NOW!|27858|112022
realDonaldTrump|Wed Apr 18 02:49:28 +0000 2018|While Japan and South Korea would like us to go back into TPP, I don?t like the deal for the United States. Too many contingencies and no way to get out if it doesn?t work. Bilateral deals are far more efficient, profitable and better for OUR workers. Look how bad WTO is to U.S.|17367|75923
realDonaldTrump|Wed Apr 18 02:32:04 +0000 2018|Pastor Andrew Brunson, a fine gentleman and Christian leader in the United States, is on trial and being persecuted in Turkey for no reason. They call him a Spy, but I am more a Spy than he is. Hopefully he will be allowed to come home to his beautiful family where he belongs!|19826|82624
realDonaldTrump|Wed Apr 18 02:26:57 +0000 2018|It is my great honor to host @JPN_PMO @AbeShinzo! https://t.co/QxMpCGRycF|9371|41323
realDonaldTrump|Wed Apr 18 02:23:58 +0000 2018|.@FLOTUS Melania and I join the Nation in celebrating the life of Barbara Bush: https://t.co/4OW72iddQx|8507|44320
realDonaldTrump|Tue Apr 17 22:59:20 +0000 2018|States and Cities throughout our Country are being cheated and treated so badly by online retailers. Very unfair to traditional tax paying stores!|13608|68066
realDonaldTrump|Tue Apr 17 21:34:23 +0000 2018|....Congress ? House and Senate must quickly pass a legislative fix to ensure violent criminal aliens can be removed from our society. Keep America Safe!|12630|54342
realDonaldTrump|Tue Apr 17 21:34:23 +0000 2018|Today?s Court decision means that Congress must close loopholes that block the removal of dangerous criminal aliens, including aggravated felons. This is a public safety crisis that can only be fixed by....|15203|65232
realDonaldTrump|Tue Apr 17 20:45:36 +0000 2018|Welcome Prime Minister Abe! https://t.co/538EYyfWDq|13974|56916
realDonaldTrump|Tue Apr 17 17:59:39 +0000 2018|Rasmussen just came out at 51% Approval despite the Fake News Media. They were one of the three most accurate on Election Day. Just about the most inaccurate were CNN and ABC News/Washington Post, and they haven?t changed (get new pollsters). Much of the media is a Scam!|17699|75858
realDonaldTrump|Tue Apr 17 17:51:52 +0000 2018|Getting ready to meet Prime Minister Abe of Japan, a truly fine gentleman!|10038|66027
realDonaldTrump|Tue Apr 17 12:24:36 +0000 2018|So many people are seeing the benefits of the Tax Cut Bill. Everyone is talking, really nice to see!|14811|83146
realDonaldTrump|Tue Apr 17 12:24:36 +0000 2018|Looks like Jerry Brown and California are not looking for safety and security along their very porous Border. He cannot come to terms for the National Guard to patrol and protect the Border. The high crime rate will only get higher. Much wanted Wall in San Diego already started!|14710|63294
realDonaldTrump|Tue Apr 17 12:24:35 +0000 2018|I am in Florida and looking forward to my meeting with Prime Minister Abe of Japan. Working on Trade and Military Security.|11354|62275
realDonaldTrump|Tue Apr 17 12:24:34 +0000 2018|Employment is up, Taxes are DOWN. Enjoy!|23882|121402
realDonaldTrump|Mon Apr 16 12:31:02 +0000 2018|Russia and China are playing the Currency Devaluation game as the U.S. keeps raising interest rates. Not acceptable!|20597|95050
realDonaldTrump|Mon Apr 16 12:25:19 +0000 2018|Comey drafted the Crooked Hillary exoneration long before he talked to her (lied in Congress to Senator G), then based his decisions on her poll numbers. Disgruntled, he, McCabe, and the others, committed many crimes!|27658|109492
realDonaldTrump|Sun Apr 15 14:44:30 +0000 2018|Just hit 50% in the Rasmussen Poll, much higher than President Obama at same point. With all of the phony stories and Fake News, it?s hard to believe! Thank you America, we are doing Great Things.|28506|137509
realDonaldTrump|Sun Apr 15 13:07:10 +0000 2018|Slippery James Comey, a man who always ends up badly and out of whack (he is not smart!), will go down as the WORST FBI Director in history, by far!|21382|96239
realDonaldTrump|Sun Apr 15 12:56:13 +0000 2018|Attorney Client privilege is now a thing of the past. I have many (too many!) lawyers and they are probably wondering when their offices, and even homes, are going to be raided with everything, including their phones and computers, taken. All lawyers are deflated and concerned!|22956|100271
realDonaldTrump|Sun Apr 15 12:32:16 +0000 2018|I never asked Comey for Personal Loyalty. I hardly even knew this guy. Just another of his many lies. His ?memos? are self serving and FAKE!|21420|99493
realDonaldTrump|Sun Apr 15 12:19:42 +0000 2018|The Syrian raid was so perfectly carried out, with such precision, that the only way the Fake News Media could demean was by my use of the term ?Mission Accomplished.? I knew they would seize on this but felt it is such a great Military term, it should be brought back. Use often!|22981|112597
realDonaldTrump|Sun Apr 15 12:08:03 +0000 2018|Comey throws AG Lynch ?under the bus!? Why can?t we all find out what happened on the tarmac in the back of the plane with Wild Bill and Lynch? Was she promised a Supreme Court seat, or AG, in order to lay off Hillary. No golf and grandkids talk (give us all a break)!|25413|99207
realDonaldTrump|Sun Apr 15 11:57:14 +0000 2018|The big questions in Comey?s badly reviewed book aren?t answered like, how come he gave up Classified Information (jail), why did he lie to Congress (jail), why did the DNC refuse to give Server to the FBI (why didn?t they TAKE it), why the phony memos, McCabe?s $700,000 &amp; more?|26485|98379
realDonaldTrump|Sun Apr 15 11:42:33 +0000 2018|Unbelievably, James Comey states that Polls, where Crooked Hillary was leading, were a factor in the handling (stupidly) of the Clinton Email probe. In other words, he was making decisions based on the fact that he thought she was going to win, and he wanted a job. Slimeball!|26364|103594
realDonaldTrump|Sat Apr 14 12:29:48 +0000 2018|So proud of our great Military which will soon be, after the spending of billions of fully approved dollars, the finest that our Country has ever had. There won?t be anything, or anyone, even close!|29136|156619
