screen_name|created_at|text|retweet_count|favorite_count
realDonaldTrump|Fri Oct 13 17:41:36 +0000 2017|"\"Consumer confidence soars to highest level since 2004\"
?https://t.co/RvxCPAFI2A https://t.co/U8MS9K45fX"|10585|46061
realDonaldTrump|Fri Oct 13 17:07:15 +0000 2017|"In America, we don't worship government - we worship God. 
#ValuesVotersSummit https://t.co/YQ3iDlWylK"|19739|76122
realDonaldTrump|Fri Oct 13 16:30:28 +0000 2017|"I have no greater privilege than to serve as your Commander-in-Chief. HAPPY BIRTHDAY to the incredible men and women @USNavy!
#242NavyBday https://t.co/qcdB4U8CqA"|15576|69516
realDonaldTrump|Fri Oct 13 12:01:02 +0000 2017|The wonderful people of Puerto Rico, with their unmatched spirit, know how bad things were before the H's. I will always be with them!|11105|60034
realDonaldTrump|Fri Oct 13 11:51:30 +0000 2017|Hard to believe that the Democrats, who have gone so far LEFT that they are no longer recognizable, are fighting so hard for Sanctuary crime|21092|87762
realDonaldTrump|Fri Oct 13 11:14:12 +0000 2017|ObamaCare is a broken mess. Piece by piece we will now begin the process of giving America the great HealthCare it deserves!|14328|72126
realDonaldTrump|Fri Oct 13 11:10:30 +0000 2017|Sadly, they and others are Fake News, and the public is just beginning to figure it out! https://t.co/8B8AyA7V1s|10909|48597
realDonaldTrump|Fri Oct 13 09:36:54 +0000 2017|The Democrats ObamaCare is imploding. Massive subsidy payments to their pet insurance companies has stopped. Dems should call me to fix!|13076|60600
realDonaldTrump|Fri Oct 13 01:18:23 +0000 2017|It is time to take care of OUR COUNTRY, to rebuild OUR COMMUNITIES, and to protect our GREAT AMERICAN WORKERS! #TaxReform https://t.co/FEjGjT4xp9|15343|65292
realDonaldTrump|Fri Oct 13 00:12:59 +0000 2017|People are just now starting to find out how dishonest and disgusting (FakeNews) @NBCNews is. Viewers beware. May be worse than even @CNN!|20395|82148
realDonaldTrump|Thu Oct 12 20:19:32 +0000 2017|"Happy #NationalFarmersDay!
?https://t.co/dN39R1IMlA https://t.co/QbUG1pztaI"|10223|47528
realDonaldTrump|Thu Oct 12 18:17:40 +0000 2017|We need a tax system that is FAIR to working FAMILIES &amp; that encourages companies to STAY in AMERICA, GROW in AMERICA, and HIRE in AMERICA! https://t.co/DdI1yWi7YZ|14613|65093
realDonaldTrump|Thu Oct 12 17:06:26 +0000 2017|"The time has come to take action to IMPROVE access, INCREASE choices, and LOWER COSTS for HEALTHCARE! 
??https://t.co/mz5fdveTVh https://t.co/dDZLsKuNSe"|11991|49473
realDonaldTrump|Thu Oct 12 12:45:29 +0000 2017|The Fake News Is going all out in order to demean and denigrate! Such hatred!|15588|76067
realDonaldTrump|Thu Oct 12 11:07:00 +0000 2017|...We cannot keep FEMA, the Military &amp; the First Responders, who have been amazing (under the most difficult circumstances) in P.R. forever!|12381|61473
realDonaldTrump|Thu Oct 12 10:58:53 +0000 2017|...accountability say the Governor. Electric and all infrastructure was disaster before hurricanes. Congress to decide how much to spend....|9436|48352
realDonaldTrump|Thu Oct 12 10:49:42 +0000 2017|"\"Puerto Rico survived the Hurricanes, now a financial crisis looms largely of their own making.\" says Sharyl Attkisson. A total lack of....."|9438|44914
realDonaldTrump|Thu Oct 12 10:04:11 +0000 2017|Clips from tax speech and @seanhannity on @foxandfriends now. Have a great day!|6241|35816
realDonaldTrump|Thu Oct 12 00:40:57 +0000 2017|In even the darkest moments, the light of our people has shown through their goodness, their courage and their love. #USA?? https://t.co/8JK8aM2a1L|12565|57830
realDonaldTrump|Thu Oct 12 00:09:42 +0000 2017|Network news has become so partisan, distorted and fake that licenses must be challenged and, if appropriate, revoked. Not fair to public!|18646|82673
realDonaldTrump|Wed Oct 11 23:56:08 +0000 2017|Joining @SeanHannity tonight at 9pmE on @FoxNews. Enjoy! https://t.co/RCfiJus5Rw|5217|30246
realDonaldTrump|Wed Oct 11 23:28:49 +0000 2017|We need a tax system that is FAIR to working families &amp; that encourages companies to STAY in America, GROW in America, and HIRE in America?? https://t.co/u9ZgijgLE3|11506|53952
realDonaldTrump|Wed Oct 11 21:32:07 +0000 2017|I will be interviewed tonight on @FoxNews by @SeanHannity at 9pmE. Enjoy!|9576|54846
realDonaldTrump|Wed Oct 11 21:18:49 +0000 2017|"Join me LIVE at 5:45pmE from Harrisburg, Pennsylvania! 
#TaxReform #USA??
https://t.co/fDUEMpRTcE https://t.co/1mMjl1HNpl"|4763|26715
realDonaldTrump|Wed Oct 11 19:49:21 +0000 2017|Happy to announce we are awarding $1M to Las Vegas - in order to help local law enforcement working OT to respond to last Sunday?s tragedy.|17772|108984
realDonaldTrump|Wed Oct 11 13:55:44 +0000 2017|With all of the Fake News coming out of NBC and the Networks, at what point is it appropriate to challenge their License? Bad for country!|21353|93533
realDonaldTrump|Wed Oct 11 13:45:22 +0000 2017|"Fake @NBCNews made up a story that I wanted a \"tenfold\" increase in our U.S. nuclear arsenal. Pure fiction, made up to demean. NBC = CNN!"|17495|69519
realDonaldTrump|Wed Oct 11 10:47:10 +0000 2017|It is about time that Roger Goodell of the NFL is finally demanding that all players STAND for our great National Anthem-RESPECT OUR COUNTRY|18990|100343
realDonaldTrump|Wed Oct 11 10:36:37 +0000 2017|The Democrats want MASSIVE tax increases &amp; soft, crime producing borders.The Republicans want the biggest tax cut in history &amp; the WALL!|17999|80080
realDonaldTrump|Wed Oct 11 10:31:18 +0000 2017|It would be really nice if the Fake News Media would report the virtually unprecedented Stock Market growth since the election.Need tax cuts|14282|70502
realDonaldTrump|Wed Oct 11 10:26:50 +0000 2017|...if Congress gives us the massive tax cuts (and reform) I am asking for, those numbers will grow by leaps and bounds. #MAGA|10421|52177
realDonaldTrump|Wed Oct 11 10:21:15 +0000 2017|Stock Market has increased by 5.2 Trillion dollars since the election on November 8th, a 25% increase. Lowest unemployment in 16 years and..|16904|75680
realDonaldTrump|Wed Oct 11 01:21:43 +0000 2017|...fired. This story is totally made up by the dishonest media.The Chief is doing a FANTASTIC job for me and, more importantly, for the USA!|14500|72897
realDonaldTrump|Wed Oct 11 01:15:26 +0000 2017|The Fake News is at it again, this time trying to hurt one of the finest people I know, General John Kelly, by saying he will soon be.....|14641|65417
realDonaldTrump|Tue Oct 10 23:29:47 +0000 2017|"My great honor to host the 2017 back-to-back #StanleyCup Champion Pittsburgh Penguins at the WH with @FLOTUS today!
https://t.co/qyT4bcHVuR https://t.co/rBwGmhMnPX"|13132|62769
realDonaldTrump|Tue Oct 10 12:50:55 +0000 2017|The Failing @nytimes set Liddle' Bob Corker up by recording his conversation. Was made to sound a fool, and that's what I am dealing with!|13538|58793
realDonaldTrump|Tue Oct 10 12:13:54 +0000 2017|"Highly respected author, Christopher Bedford, just came out with book, \"The Art of the Donald, Lessons from America's....\" Really good book!"|10613|55361
realDonaldTrump|Tue Oct 10 10:42:23 +0000 2017|"With Jemele Hill at the mike, it is no wonder ESPN ratings have \"tanked,\" in fact, tanked so badly it is the talk of the industry!"|18656|90559
realDonaldTrump|Tue Oct 10 10:30:28 +0000 2017|Since Congress can't get its act together on HealthCare, I will be using the power of the pen to give great HealthCare to many people - FAST|20917|94546
realDonaldTrump|Tue Oct 10 10:18:34 +0000 2017|The problem with agreeing to a policy on immigration is that the Democrats don't want secure borders,they don't care about safety for U.S.A.|20621|82040
realDonaldTrump|Tue Oct 10 10:13:47 +0000 2017|Why is the NFL getting massive tax breaks while at the same time disrespecting our Anthem, Flag and Country? Change tax law!|30628|132165
