nodo_id,etiqueta,grado,estado
autor:UC-HeUTT6_g-VoiWds2a4H-w,@JorgeMunoz-gd9et,1,hoja
autor:UC-Iul5tDYH_oiAMXQH-KaaQ,@AlbertoMancilla-p9h,1,hoja
autor:UC-QOpE7GOxlXcHZ8b7HbQKA,@mariaalexander427,1,hoja
autor:UC-fiZBS5Gp1eCJd9ucgWnCg,@Tommii.10,1,hoja
autor:UC-hfX8J5JPJ-dfuakzegMLA,@normaleticiaorozcojuarez2418,1,hoja
autor:UC-jS_kA9w-OmpupXDx156Rg,@simoncreyesc7579,1,hoja
autor:UC-pNP6RMFuLg_-x7Ah_0kEA,@almacatalan2717,1,hoja
autor:UC094EFEmMSdwVa8NQjjYBXg,@CelestinoQuej-j7k,1,hoja
autor:UC0HvfEWozTHbwl_iEmJNvVA,@OttoPalencia-b7r,1,hoja
autor:UC0RpuMwkDKJYqgKHtsJRuWQ,@sabinamarinaguerra3248,1,hoja
autor:UC0aEyakBPqcBkVJiErfSupQ,@jhonymanuel9891,1,hoja
autor:UC14qlobYKqD-DO0j6b75lcA,@megavision4488,1,hoja
autor:UC1DpqK6vaPEkBOMNvypsKYg,@HectorCarranza-u4j4o,1,hoja
autor:UC1NiEdJ7gk6FlDexIalWnGg,@BorisTebalán,1,hoja
autor:UC1WlJfQmaIskYhP4gmWoamw,@marthareiss5434,1,hoja
autor:UC1Y7x3h0c95Z8kUhi-Tzaeg,@rosadiaz9235,1,hoja
autor:UC1vr9aaMI2crB0NvwFHUeoQ,@JoseSimilox-p6e,1,hoja
autor:UC2Y_EHWQKevubk4vOEBBFxw,@alfonsomorales2653,1,hoja
autor:UC2ngpd8UBQu4gcUYy0goAtg,@juliohernandez7438,1,hoja
autor:UC2weSE8rpqkGMOp6StYtVfg,@katerynsantiago2907,1,hoja
autor:UC32oozucwCF3q8d4m8fyOUg,@RauldejesusOlivagonzalez,1,hoja
autor:UC3E9mAgP7VoAE5mZoAexl5g,@EnnioAroche,1,hoja
autor:UC3MYTqpQqlWBuCB7Th0e0PA,@isaaclopez7220,1,hoja
autor:UC3NMzdMYryaw82kPTnsaljg,@marisosa7832,1,hoja
autor:UC3UVO7pTbeYvZ3ILEyRDskQ,@rosaelenaargueta79,1,hoja
autor:UC3XTwHxygNCgjndsg-UiCQA,@marioajset4283,1,hoja
autor:UC3YpzAr7pcdKC7BVFEpYzog,@carmenfigueroa1232,1,hoja
autor:UC3iIU62XKUOWuqL8BqBzj9A,@antonioduarte2288,1,hoja
autor:UC3qn1yJA5PeW9rkGPatQxiw,@VICTOREST19,1,hoja
autor:UC4Avya4kmR4Q0FrfFdBozSQ,@davidlima1348,1,hoja
autor:UC4cXueR2bKGFJV0Fk76gwmA,@aluxdel4792,1,hoja
autor:UC4kg7zuTfqQKLd2bkZrSYBA,@zoilagarcia9019,1,hoja
autor:UC4wq3DcbfaG6dtCqn8Oyu3w,@hugoasencio7764,1,hoja
autor:UC5H8ASmMC9WrURmzeB4ySog,@ManuelEdran,1,hoja
