nodo_id,tipo,etiqueta,handle,author_channel_id,video_id,channel_id,canal,comentarios,videos_comentados,autores_unicos,visualizaciones,categoria
video:ZhrDgVZkhg4,video,FORMACION BRIGADA DE PROVIAL,/@provialguatemala4072,,ZhrDgVZkhg4,UCnbd_gs8-e1CQ6izIYtnSig,PROVIAL GUATEMALA,0.0,,0.0,4419.0,People & Blogs
video:_1VIxOLyaUQ,video,Sonido de trafico y ciudad 💤 ruido de calle para dormir bebés y relajarse,/@ambient_sound_explorer,,_1VIxOLyaUQ,UCKZ0c9xQAIokTOf4iPJd5jw,Ambient Sound Explorer,0.0,,0.0,330057.0,Entertainment
video:_3kK0or6QI0,video,PROVIAL guatemala,/@heto009,,_3kK0or6QI0,UCdd624oESXuVlcGtrzMWEBQ,heto009,0.0,,0.0,2054.0,News & Politics
video:_Lcbi4NCHRA,video,Tercer Informe General de la República,/@GobiernodeGuatemala,,_Lcbi4NCHRA,UCh4GjKBcqxOsL_Bt8gCCSLg,Gobierno de Guatemala,0.0,,0.0,305269.0,News & Politics
video:_NSq2q0mzCY,video,42K y 21K MuniGuate 🏃🏻🏃🏻‍♀️,/@MunicipalidaddeGuatemala-1551,,_NSq2q0mzCY,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,0.0,,0.0,47.0,News & Politics
video:_cUZT7LMKE0,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,/@GobiernodelaRepublicadeGuatema,,_cUZT7LMKE0,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,0.0,,0.0,2708.0,Entertainment
video:a2zgl-1KZwY,video,#CadenaNacional | Mensaje del Presidente Bernardo Arévalo a la nación,/@GobiernodelaRepublicadeGuatema,,a2zgl-1KZwY,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,0.0,,0.0,2334.0,Entertainment
video:a3QGSpNx9Mg,video,Guatemala ya no aguanta el tráfico… ¿Funcionará el Aerómetro?,/@entrecaminostv,,a3QGSpNx9Mg,UCHBzKtCUFwHuKFGD3bEHexQ,Entre Caminos,0.0,,0.0,8098.0,Travel & Events
video:a6QFfhpY53g,video,Provial Informa,/@ProvialOficial_CIV,,a6QFfhpY53g,UCuKuUrmHoNaJJHE27Aac9PQ,PROVIAL-CIV,0.0,,0.0,49.0,People & Blogs
video:aRKgOSxgsF0,video,@GobiernodeGuatemala,/@luisarturocebergulban6982,,aRKgOSxgsF0,UCX2epzWFbtqhO1Tn2au9NXQ,luis arturo ceberg ulban,0.0,,0.0,2.0,People & Blogs
video:aSbvMYJhmCc,video,Policía Nacional Civil,/@mingobguate,,aSbvMYJhmCc,UC8u2nvyHewt-mjdWSj0HJmQ,Ministerio de Gobernación,0.0,,0.0,4346.0,News & Politics
video:a_kAe9IhBbo,video,Tráiler impacta pasarela en Aguilar Batres y provoca cierre parcial hacia la capital,/@PrensaLibreOficial,,a_kAe9IhBbo,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,0.0,,0.0,255.0,News & Politics
video:ahicr7fQREY,video,Conred Podcast Episodio 9: Servidores Cívicos construyendo una cultura de prevención,/@Conred_GT,,ahicr7fQREY,UC6SA1dVHvAkc6yNS_t5cbGw,Conred,0.0,,0.0,65.0,Education
video:almmnboHkwM,video,Se mueve Guate 🚌,/@MunicipalidaddeGuatemala-1551,,almmnboHkwM,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,0.0,,0.0,297.0,News & Politics
video:anFbrgqxdzY,video,Horas Antes del Big One | Dentro de Ciudad de Guatemala Exactamente Antes del Terremoto (1976),/@NostalgiaLatina-k2e,,anFbrgqxdzY,UC6Y7Hk0Otm2xeX1WoHOQp6Q,Nostalgia Latina,0.0,,0.0,222656.0,People & Blogs
video:aoz2j4TTl4E,video,Rutas Alternas a partir del lunes 03 de agosto por avances de #AeroMetroGT,/@MunicipalidaddeGuatemala-1551,,aoz2j4TTl4E,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,0.0,,0.0,8905.0,News & Politics
video:bBz8nX4pMxc,video,Conred e Insivumeh informan sobre sismos en Guatemala este 31 de julio,/@guatevision_oficial,,bBz8nX4pMxc,UCDaIW3kDab95q7iCSeVAnbQ,Guatevisión,0.0,,0.0,1115.0,Entertainment
video:bMoENbSBSNs,video,¿Por qué Guatemala es una República? El decreto del 21 de marzo de 1847 y Rafael Carrera,/@elprofedehistoriagt2046,,bMoENbSBSNs,UCdHETJl6cR5dye5XxEyqycQ,El profe de Historia Gt,0.0,,0.0,1134.0,Education
video:b_Hkrkl3adA,video,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,/@PrensaLibreOficial,,b_Hkrkl3adA,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,7.0,,7.0,5469.0,News & Politics
video:bg1KCMaIrRM,video,"¡Atención, vecinos!",/@MunicipalidaddeGuatemala-1551,,bg1KCMaIrRM,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,0.0,,0.0,1965.0,News & Politics
video:bzosgvntOXU,video,Municipalidad de Guatemala 05/09/2025,/@ConcejalesOposici%C3%B3n,,bzosgvntOXU,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,0.0,,0.0,160.0,People & Blogs
video:cl3Rpw9MstQ,video,Municipalidad de Guatemala sigue trabajando,/@MunicipalidaddeGuatemala-1551,,cl3Rpw9MstQ,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,0.0,,0.0,484.0,News & Politics
video:cpoiRUtF9uU,video,Congreso termina jornada sin acuerdos para aliviar precio de combustibles #ALAS7AM (02/09/2026),/@miracanalantigua,,cpoiRUtF9uU,UC-GLagjBhWAZ3IOWFgzqIAw,Canal Antigua,0.0,,0.0,117.0,News & Politics
video:csqia7f3OIE,video,SISTEMA CONRED Y METODOLOGÍA DE LOS 6 PASOS,/@CarlitosGamboa,,csqia7f3OIE,UCzQX0cEQzCZ4ff9-P3gELug,Carlitos Gamboa,0.0,,0.0,509.0,People & Blogs
video:d-V_Aw1t6nI,video,Graduacion  de la 57 Promocion  de la Policia Nacional Civil  de Guatemala.,/@PNCdeGuatemala,,d-V_Aw1t6nI,UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,0.0,,0.0,1643.0,People & Blogs
video:dJcNu9YYwh4,video,"Lluvias, ceniza y calor extremo: así estará el clima en Guatemala, según Insivumeh",/@PrensaLibreOficial,,dJcNu9YYwh4,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,0.0,,0.0,1061.0,News & Politics
video:dLctzx8qCgA,video,¿Cómo la CIA ALTERÓ el DESTINO de GUATEMALA para siempre?,/@AlanDelmonte,,dLctzx8qCgA,UCYaMaLJVbMlLwpPACbxPUuQ,Alan Delmonte,0.0,,0.0,108616.0,Education
video:dWhSTyhegeQ,video,Personal de Provial explica de empresas que verificarán implementación de limitadores de velocidad,/@lahoragt,,dWhSTyhegeQ,UCrAoF9-9Vvb9_zK0t-m2Rhg,La Hora,0.0,,0.0,341.0,News & Politics
video:dccwBXfxxiI,video,¡Espacios iluminados y seguros!,/@MunicipalidaddeGuatemala-1551,,dccwBXfxxiI,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,0.0,,0.0,38773.0,News & Politics
video:dsyLiSCrwcU,video,"3 KIEBRES ES DOLOROSO QUE EN CHIQUIMULA AÚN HAY COMUNIDADES SIN ENERGÍA ELÉCTRICA, GUATEMALA.",/@CronosTime,,dsyLiSCrwcU,UCH1AYkCs1GpNK_xUwFYTsaQ,Cronos Time GT,0.0,,0.0,701.0,Education
video:dvy9rQpqLWY,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGT,/@GobiernodelaRepublicadeGuatema,,dvy9rQpqLWY,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,0.0,,0.0,959.0,Entertainment
video:dya9nbxqWXE,video,ANDY EL MUÑEQUITO TRABAJADOR 🥴🏍🥴🤣@Soychap1n @lucilaylossinar @lilyvlogs6899,/@robosymentiras,,dya9nbxqWXE,UCzwR2o8LFAgAMfO0KIcFh0A,CANALES ROBOS Y MENTIRAS 💰🧐,0.0,,0.0,4939.0,People & Blogs
video:ebbgBtNrRz8,video,Las fuertes lluvias en Guatemala dejan al menos tres fallecidos en zonas rurales | Telemundo,/@noticias,,ebbgBtNrRz8,UCRwA1NUcUnwsly35ikGhp0A,Noticias Telemundo,0.0,,0.0,63249.0,News & Politics
video:ewdf3q1tuCA,video,INTERPOL Guatemala captura a mujer por prostituir a señoritas,/@Noti7Guatemala,,ewdf3q1tuCA,UCVpSRoZgngfSL03Nlbjtq9A,Noti7,0.0,,0.0,71048.0,News & Politics
