red,nodos,aristas,densidad,grado_medio,componentes,componente_mayor,aislados,hojas,cohesion_pares,transitividad,clustering_medio,densidad_bipartita
bipartita,625,343,0.0017589743589743589,1.0976,284,286,274,327,0.21166153846153846,0.0,0.0,0.003526049590854887
autores,332,10732,0.19531904051250318,64.65060240963855,10,276,4,2,0.6991045754013031,0.9840254741148836,0.9720487679984025,
videos,293,11,0.0002571415213427463,0.07508532423208192,284,10,283,3,0.0010519425873112347,0.3157894736842105,0.009670079635949944,
