nodo_id,etiqueta,grado,estado
video:AlbPEU3rbZs,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,0,aislado observado
video:ArljwpsURdY,"Entrevista especial con Claudinne Ogaldes, Secretaria Ejecutiva de la SE-CONRED",0,aislado observado
video:B60bWqpVUIE,Así es el transporte público en Ciudad de Guatemala,0,aislado observado
video:BLc_KXPng9g,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGT,0,aislado observado
video:BUNeDEi0yVU,CIV LICITACIÓN 800 KM 110717,0,aislado observado
video:BW41jT3t3oI,Provial,0,aislado observado
video:BbAeamItalk,ZARAGOZA DA UN PASO HACIA EL FORTALECIMIENTO DEL DEPORTE CON NUEVA CIUDAD DEPORTIVA,0,aislado observado
video:Bdn2nxDqQ90,Video Viral de PMT / GUATEMALA,0,aislado observado
video:Bi34XvRV6AM,Plan de Evacuación CONRED,0,aislado observado
video:BnZFUzpEDe4,Municipalidad de Guatemala se moderniza,0,aislado observado
video:Boj5GILjbI0,"Spot Rendición de Cuentas, segundo cuatrimestre 2023 - 2",0,aislado observado
video:Bp4LtQT8Hk0,"Ciudad de Guatemala, el mejor lugar para vivir",0,aislado observado
video:C5hJmAhpMMQ,"YOUTUBE PUNTO DE ENFOQUE MARIO MEJÍA, SUBDIRECTOR DE INSIVUMEH",0,aislado observado
video:C8wk4HWwWyM,Duro golpe al crimen organizado en Granja Penal de Pavón.,0,aislado observado
video:CDg6kLRfiqQ,Acciones relevantes en el #Resumen24Horas,0,aislado observado
video:CJQ46Hr4HcU,Municipalidad de Guatemala  19/12/2025,0,aislado observado
video:D3fRGjqHeHI,"Spot Rendición de Cuentas, segundo cuatrimestre 2023 - 1",0,aislado observado
video:D4CEpAfkkPI,Policías arremeten contra agente de PMT en zona 10,0,aislado observado
video:DBvMeKT4gzo,La Familia MÁS RICA de GUATEMALA… Ni la Guerra les Quitó el Trono y Hoy son DUEÑOS de tu CERVEZA,0,aislado observado
video:DC1_qrLUvHI,Municipalidad de Guatemala 26/08/2026,0,aislado observado
